"country","rate2019both","rate2019male","rate2019female","pop2022"
"Afghanistan","4.1000","4.6000","3.6000","41128.7710"
"Mali","4.1000","5.3000","2.9000","22593.5900"
"Azerbaijan","4.1000","6.6000","1.6000","10358.0740"
"Colombia","3.9000","6.1000","1.8000","51874.0240"
"South Sudan","3.9000","5.7000","2","10913.1640"
"Sudan","3.8000","4.9000","2.8000","46874.2040"
"Tonga","3.8000","5","2.6000","106.8580"
"Bangladesh","3.7000","5.7000","1.7000","171186.3720"
"Timor-Leste","3.7000","5.3000","2","1341.2960"
"Iraq","3.6000","5.2000","2","44496.1220"
"Cyprus","3.6000","6","1.3000","1251.4880"
"Nigeria","3.5000","5","1.9000","218541.2120"
"Bahamas","3.5000","5.9000","1.3000","409.9840"
"Tunisia","3.3000","4.7000","1.9000","12356.1170"
"Armenia","3.3000","5.6000","1.3000","2780.4690"
"Mauritania","3.1000","4","2.2000","4736.1390"
"Egypt","3","4","2","110990.1030"
"Papua New Guinea","3","4.3000","1.6000","10142.6190"
"Myanmar","2.9000","4.9000","1.1000","54179.3060"
"Panama","2.9000","4.7000","1","4408.5810"
"Kuwait","2.9000","4.3000","0.7000","4268.8730"
"Peru","2.8000","4.2000","1.4000","34049.5880"
"Lebanon","2.8000","3.8000","1.7000","5489.7390"
"Maldives","2.7000","3.9000","0.8000","523.7870"
"Brunei","2.7000","4.4000","0.8000","449.0020"
"Algeria","2.5000","3.1000","1.8000","44903.2250"
"Indonesia","2.4000","3.7000","1.1000","275501.3390"
"Turkey","2.4000","3.6000","1.2000","85341.2410"
"Jamaica","2.4000","3.7000","1.1000","2827.3770"
"Philippines","2.2000","3.1000","1.2000","115559.0090"
"Venezuela","2.1000","3.5000","0.7000","28301.6960"
"Honduras","2.1000","3.3000","0.8000","10432.8600"
"Jordan","1.6000","2.5000","0.7000","11285.8690"
"Sao Tome and Principe","1.5000","2.2000","0.8000","227.3800"
"Saint Vincent and the Grenadines","1","1.3000","0.6000","103.9480"
"Grenada","0.7000","0.6000","0.7000","125.4380"
"Barbados","0.6000","0.9000","0.3000","281.6350"
"Antigua and Barbuda","0.4000","0","0.8000","93.7630"
